iter	Passed	Remaining
0	61	12315
1	62	6233
2	63	4172
3	64	3139
4	64	2520
5	65	2105
6	65	1810
7	66	1588
8	66	1415
9	67	1276
10	67	1162
11	68	1067
12	68	989
13	69	921
14	70	866
15	70	814
16	71	768
17	71	726
18	72	689
19	72	656
20	73	625
21	73	598
22	74	572
23	74	549
24	75	528
25	76	509
26	76	492
27	77	476
28	78	460
29	78	445
30	79	431
31	79	416
32	79	404
33	80	392
34	80	381
35	81	370
36	81	360
37	82	351
38	82	342
39	83	334
40	84	326
41	84	319
42	85	312
43	86	306
44	87	299
45	87	293
46	88	287
47	89	282
48	89	277
49	90	271
50	92	269
51	92	264
52	93	258
53	93	253
54	94	249
55	95	244
56	95	240
57	96	236
58	97	233
59	98	229
60	99	225
61	99	221
62	100	218
63	100	214
64	101	211
65	102	207
66	102	204
67	103	201
68	104	198
69	104	194
70	105	191
71	106	188
72	106	185
73	107	182
74	107	179
75	108	176
76	108	173
77	109	170
78	109	168
79	110	165
80	110	163
81	111	160
82	112	158
83	112	155
84	113	153
85	113	150
86	114	148
87	114	146
88	115	143
89	115	141
90	116	139
91	116	137
92	119	137
93	119	135
94	120	133
95	120	130
96	121	128
97	121	126
98	122	124
99	122	122
100	123	121
101	123	119
102	124	117
103	125	115
104	125	113
105	126	112
106	127	110
107	127	108
108	130	109
109	131	107
110	132	106
111	133	104
112	134	103
113	135	102
114	136	100
115	136	99
116	137	97
117	138	96
118	139	94
119	140	93
120	141	92
121	142	90
122	142	89
123	143	87
124	144	86
125	144	85
126	145	83
127	145	82
128	146	80
129	147	79
130	147	77
131	148	76
132	148	75
133	149	73
134	149	72
135	150	70
136	150	69
